A2M	0.197024	CHDH
AACS	0.175663	DBI
AACS	0.177991	MARC2
AACS	0.179917	G6PD
AACS	0.180998	IDI1
AACS	0.181183	BCAT2
AACS	0.184693	TTC36
AACS	0.1927	FASN
AACS	0.221053	CYB5A
AACS	0.226032	LDHD
AACS	0.236319	ACACA
AAGAB	0.175593	TM7SF2
AAGAB	0.177978	ARPC2
AAGAB	0.179456	HACD3
AAK1	0.178634	CCNF
AAK1	0.186132	SCO1
AAMDC	0.191907	AK1
AAMP	0.176064	GRIPAP1
AAMP	0.178932	UBXN1
AAMP	0.189031	EDF1
AAMP	0.198373	DNAJB2
AAMP	0.206835	PPM1G
AAMP	0.228282	SART1
AARS2	0.196339	INTS6
AASS	0.175377	PXMP2
AASS	0.178976	HADH
AASS	0.189691	CHP1
AASS	0.197384	IRAK3
AASS	0.202244	ALDH6A1
AASS	0.210266	ITGB5
ABCA10	0.175693	ADAM33
ABCA9	0.180424	GALNT12
ABCA9	0.192595	TNXB
ABCA9	0.204473	ACKR3
ABCB10	0.177607	ARHGAP32
ABCB10	0.177948	CPOX
ABCB10	0.200397	TMEM106B
ABCB10	0.208156	DNAJC25-GNG10
ABCB1	0.183139	ACAT2
ABCB1	0.184915	LZTS1
ABCB5	0.179771	THBS2
ABCB5	0.180638	RFFL
ABCB5	0.194046	MMP2
ABCB5	0.211077	OGN
ABCB5	0.218792	MITF
ABCB5	0.287809	CTSK
ABCB6	0.189521	ALDH4A1
ABCB7	0.17629	PXMP2
ABCB7	0.17769	NDUFB5
ABCB7	0.180034	CPT2
ABCB7	0.181923	EXD2
ABCB7	0.191175	ATP5F1
ABCB7	0.208756	MRPL37
ABCB7	0.228427	NDUFS4
ABCB7	0.257628	UQCRC2
ABCC9	0.186921	HOOK1
ABCD1	0.241909	HRSP12
ABCD4	0.175334	GBP6
ABCD4	0.185163	SCARF1
ABCE1	0.174762	PPTC7
ABCE1	0.175313	CTPS1
ABCE1	0.180038	CCDC28A
ABCE1	0.180701	ALDH1A3
ABCE1	0.19398	NIP7
ABCE1	0.197387	CRY1
ABCE1	0.199827	RRP12
ABCE1	0.21471	URB2
ABCE1	0.215504	WDR43
ABCE1	0.219989	METTL1
ABCE1	0.223007	PPRC1
ABCE1	0.269396	PNO1
ABCE1	0.395479	DDX21
ABCF1	0.176389	DYNLL2
ABHD11	0.182905	PDCD7
ABHD13	0.17681	FOSL1
ABHD13	0.176924	RNF20
ABHD13	0.180508	MAPK6
ABHD13	0.182451	ZNF2
ABHD13	0.183631	CSRNP1
