1	2
1	41
1	43
1	45
1	47
1	52
1	60
1	62
1	67
1	74
1	81
2	3
2	11
2	14
2	17
2	24
2	28
2	30
2	57
2	58
2	59
2	64
2	66
2	90
2	96
3	4
3	13
3	34
3	35
3	48
3	70
3	73
3	75
3	77
3	99
3	100
4	5
4	51
4	65
4	68
4	69
4	71
4	82
4	94
4	97
5	6
5	12
5	16
5	20
5	46
5	53
5	54
5	92
6	7
6	19
6	27
6	44
6	56
6	83
6	84
6	93
7	8
7	50
8	9
8	23
8	63
8	76
8	79
8	88
9	10
9	18
9	21
9	36
10	22
10	33
10	38
10	39
10	55
10	87
11	95
13	42
13	61
13	89
14	15
14	40
15	91
16	72
16	85
17	25
17	86
18	49
19	26
20	32
22	78
22	80
23	37
27	29
30	31
31	98
