1	2
2	9
3	11
4	7
5	1
6	1
7	5
8	10
9	10
10	4
11	7
12	7
13	6
14	5
15	12
16	11
17	7
18	12
19	9
20	9
21	12
22	4
23	10
24	4
25	2
26	12
27	6
28	9
29	2
30	6
31	12
32	9
33	11
34	6
35	9
36	6
37	12
38	9
39	12
40	5
41	1
42	1
43	12
44	9
45	12
46	9
47	1
48	11
49	5
50	3
51	7
52	10
53	7
54	7
55	6
56	9
57	6
58	12
59	5
60	8
61	5
62	9
63	9
64	8
65	11
66	12
67	8
68	4
69	10
70	2
71	6
72	12
73	7
74	4
75	3
76	8
77	6
78	10
79	10
80	9
81	8
82	3
83	11
84	1
85	3
86	12
87	8
88	8
89	3
90	9
91	7
92	8
93	8
94	7
95	6
96	12
97	12
98	11
99	3
100	6
101	11
102	12
103	7
104	6
105	1
106	9
107	5
108	7
109	10
110	9
111	7
112	10
113	8
114	12
115	3
