1	2
2	10
3	9
4	3
5	2
6	3
7	9
8	1
9	1
10	2
11	3
12	3
13	6
14	9
15	6
16	9
17	2
18	4
19	6
20	7
21	4
22	1
23	1
24	2
25	5
26	10
27	6
28	4
29	5
30	7
31	7
32	6
33	9
34	10
35	6
36	7
37	6
38	10
39	6
40	9
41	3
42	2
43	6
44	6
45	5
46	10
47	8
48	9
49	5
50	8
51	5
52	1
53	3
54	8
55	6
56	7
57	4
58	5
59	5
60	5
61	9
62	6
63	4
64	5
65	9
66	4
67	5
68	8
69	1
70	5
71	4
72	6
73	3
74	8
75	3
76	5
77	4
78	1
79	1
80	7
81	7
82	3
83	5
84	8
85	3
86	6
87	5
88	4
89	8
90	10
91	5
92	5
93	5
94	2
95	7
96	4
97	4
98	5
99	3
100	6
101	9
102	7
103	3
104	10
105	2
106	10
107	9
108	3
109	1
110	10
111	8
112	1
113	5
114	4
115	8
