1	11
2	7
3	3
4	11
5	8
6	11
7	11
8	10
9	3
10	11
11	1
12	7
13	4
14	8
15	2
16	3
17	8
18	2
19	4
20	2
21	2
22	3
23	3
24	11
25	7
26	7
27	4
28	4
29	2
30	5
31	5
32	2
33	11
34	2
35	4
36	5
37	9
38	5
39	5
40	8
41	11
42	8
43	9
44	4
45	5
46	5
47	10
48	11
49	7
50	3
51	5
52	11
53	1
54	10
55	4
56	5
57	4
58	4
59	5
60	9
61	8
62	2
63	2
64	6
65	11
66	2
67	5
68	10
69	3
70	1
71	2
72	2
73	8
74	10
75	11
76	2
77	4
78	3
79	11
80	5
81	7
82	11
83	8
84	3
85	11
86	6
87	7
88	5
89	10
90	7
91	5
92	7
93	7
94	1
95	2
96	4
97	4
98	6
99	8
100	4
101	8
102	2
103	1
104	2
105	3
106	2
107	8
108	1
109	11
110	5
111	3
112	3
113	4
114	6
115	3
